framework,control_id,control_ref,control_family,related_framework,related_control_id,related_control_ref,related_control_family,relationship,evidence_use,rationale
ISO 27001:2022,A.8.15,ISO 27001:2022 A.8.15,ISO 27001:2022 A.8 Technology Controls,ISO 27001:2022,A.8.16,ISO 27001:2022 A.8.16,ISO 27001:2022 A.8 Technology Controls,evidence_dependency,review_hint,Logging evidence should be reviewed with monitoring evidence so retained events are tied to active detection or alert handling.
ISO 27701,7.2.6,ISO 27701 7.2.6,ISO 27701 7 PII Controller Controls,ISO 27701,7.2.8,ISO 27701 7.2.8,ISO 27701 7 PII Controller Controls,sibling_scope,review_hint,Controller privacy findings should be reviewed with the adjacent controller evidence for the same processing activity.
ISO 27701,7.2.6,ISO 27701 7.2.6,ISO 27701 7 PII Controller Controls,ISO 27701,8.2.1,ISO 27701 8.2.1,ISO 27701 8 PII Processor Controls,processor_dependency,review_hint,Controller-side privacy evidence should prompt processor-side evidence review when a third party handles the same personal data.
ISO 42001,10.1,ISO 42001 10.1,ISO 42001 10 Improvement,ISO 42001,10.2,ISO 42001 10.2,ISO 42001 10 Improvement,corrective_action,review_hint,AI nonconformity evidence should point reviewers to corrective-action evidence before the issue is treated as closed.
ISO 42001,6.1,ISO 42001 6.1,ISO 42001 6 Planning,ISO 42001,6.2,ISO 42001 6.2,ISO 42001 6 Planning,planning_dependency,review_hint,AI risk-treatment findings should be reviewed with measurable AI objectives so risk work leads to tracked commitments.
ISO 42001,7.1,ISO 42001 7.1,ISO 42001 7 Support,ISO 42001,7.2,ISO 42001 7.2,ISO 42001 7 Support,evidence_dependency,review_hint,AI resource findings should be reviewed with competence evidence for the teams operating or overseeing the system.
ISO 42001,7.1,ISO 42001 7.1,ISO 42001 7 Support,ISO 42001,7.3,ISO 42001 7.3,ISO 42001 7 Support,evidence_dependency,review_hint,AI resource findings should be reviewed with awareness evidence so operators know the limits and required controls.
ISO 42001,9.1,ISO 42001 9.1,ISO 42001 9 Performance Evaluation,ISO 42001,9.3,ISO 42001 9.3,ISO 42001 9 Performance Evaluation,evidence_dependency,review_hint,"AI monitoring findings should be reviewed with management-review evidence so drift, failures, or risk changes reach accountable owners."
ISO 42001,A.2.2,ISO 42001 A.2.2,ISO 42001 A.2 Policies,ISO 42001,A.6.2.4,ISO 42001 A.6.2.4,ISO 42001 A.6 Lifecycle,operating_context,review_hint,AI policy or use-case findings should be reviewed with impact-assessment evidence for the affected AI system.
ISO 42001,A.2.2,ISO 42001 A.2.2,ISO 42001 A.2 Policies,ISO 42001,A.8.2,ISO 42001 A.8.2,ISO 42001 A.8 Information for Interested Parties,operating_context,review_hint,"AI policy or use-case findings should be reviewed with deployment-operation evidence for the same model, agent, or workflow."
PCI DSS v4.0.1,1.3,PCI DSS v4.0.1 1.3,PCI DSS v4.0.1 1 Network Security Controls,PCI DSS v4.0.1,1.3.1,PCI DSS v4.0.1 1.3.1,PCI DSS v4.0.1 1 Network Security Controls,child_requirement,review_hint,Parent network-boundary mappings should prompt review of the specific inbound and outbound restriction detail.
PCI DSS v4.0.1,10.2,PCI DSS v4.0.1 10.2,PCI DSS v4.0.1 10 Logging and Monitoring,PCI DSS v4.0.1,10.2.1,PCI DSS v4.0.1 10.2.1,PCI DSS v4.0.1 10 Logging and Monitoring,child_requirement,review_hint,Audit-log mappings should prompt event-class detail review so critical access and administrative actions are not hidden in a parent control.
PCI DSS v4.0.1,12.10.1,PCI DSS v4.0.1 12.10.1,PCI DSS v4.0.1 12 Security Program,PCI DSS v4.0.1,10.2,PCI DSS v4.0.1 10.2,PCI DSS v4.0.1 10 Logging and Monitoring,evidence_dependency,review_hint,Incident-response evidence should be checked against audit-log coverage for the same systems and time window.
PCI DSS v4.0.1,3.5,PCI DSS v4.0.1 3.5,PCI DSS v4.0.1 3 Account Data Protection,PCI DSS v4.0.1,3.5.1,PCI DSS v4.0.1 3.5.1,PCI DSS v4.0.1 3 Account Data Protection,child_requirement,review_hint,"Cryptographic-material findings should prompt detail review for key storage, key exposure, and key-management controls."
PCI DSS v4.0.1,4.2,PCI DSS v4.0.1 4.2,PCI DSS v4.0.1 4 Transmission Protection,PCI DSS v4.0.1,4.2.1,PCI DSS v4.0.1 4.2.1,PCI DSS v4.0.1 4 Transmission Protection,child_requirement,review_hint,Transmission-security mappings should prompt protocol and certificate detail review before closure.
PCI DSS v4.0.1,8.3,PCI DSS v4.0.1 8.3,PCI DSS v4.0.1 8 Identity and Authentication,PCI DSS v4.0.1,8.3.6,PCI DSS v4.0.1 8.3.6,PCI DSS v4.0.1 8 Identity and Authentication,child_requirement,review_hint,"Authentication mappings should prompt review of passwordless, password, or equivalent authenticator requirements for the affected user class."
PCI DSS v4.0.1,8.3,PCI DSS v4.0.1 8.3,PCI DSS v4.0.1 8 Identity and Authentication,PCI DSS v4.0.1,8.3.7,PCI DSS v4.0.1 8.3.7,PCI DSS v4.0.1 8 Identity and Authentication,child_requirement,review_hint,"Authentication mappings should prompt review of credential lifecycle requirements when stale, shared, or unmanaged credentials are involved."
PCI DSS v4.0.1,8.4,PCI DSS v4.0.1 8.4,PCI DSS v4.0.1 8 Identity and Authentication,PCI DSS v4.0.1,8.4.2,PCI DSS v4.0.1 8.4.2,PCI DSS v4.0.1 8 Identity and Authentication,child_requirement,review_hint,Multifactor mappings should prompt review of whether the specific access path and user population are included.
SOC 2,CC6.1,SOC 2 CC6.1,SOC 2 CC6 Logical and Physical Access,SOC 2,CC6.2,SOC 2 CC6.2,SOC 2 CC6 Logical and Physical Access,sibling_scope,review_hint,Access-control findings should be reviewed next to entitlement approval and access-change evidence before an audit packet is called complete.
SOC 2,CC6.1,SOC 2 CC6.1,SOC 2 CC6 Logical and Physical Access,SOC 2,CC6.3,SOC 2 CC6.3,SOC 2 CC6 Logical and Physical Access,sibling_scope,review_hint,Authentication or authorization exceptions often need network or system-access boundary evidence to show the full access path.
SOC 2,CC7.1,SOC 2 CC7.1,SOC 2 CC7 System Operations,SOC 2,CC7.2,SOC 2 CC7.2,SOC 2 CC7 System Operations,evidence_dependency,review_hint,"Monitoring findings should prompt review of investigation and response evidence for the same asset, user, or service."
SOC 2,CC7.1,SOC 2 CC7.1,SOC 2 CC7 System Operations,SOC 2,CC7.3,SOC 2 CC7.3,SOC 2 CC7 System Operations,evidence_dependency,review_hint,Detection evidence is stronger when the response or escalation path for the same signal can also be reviewed.
